2499,20200424,1248,1250.56,1259.89,1235.18,19122.4,600519
2500,20200427,1257,1276,1278.17,1250.96,25903.91,600519
2501,20200428,1285.31,1279.13,1299.94,1271.88,34661.9,600519
2502,20200429,1277.8,1274.9,1288.1,1258,23444.06,600519
2503,20200430,1271,1265.7,1285.01,1258.88,24660.87,600519
2504,20200506,1251,1300,1300,1250,35834.81,600519
2505,20200507,1299.4,1312,1314.99,1293,27934.74,600519
2506,20200508,1317,1314.61,1338,1308.51,29078.68,600519
2507,20200511,1320,1323.01,1335,1313.67,23671.19,600519
2508,20200512,1318,1333,1334.99,1316,19721.81,600519
2509,20200513,1333,1335.95,1337.99,1322.88,22014.31,600519
2510,20200514,1330,1326.59,1334.88,1325.11,18574.92,600519
2511,20200515,1329,1313,1333.5,1301.88,26398.08,600519
2512,20200518,1306,1346.21,1351.5,1305.13,34362.11,600519
2513,20200519,1364,1346.11,1364,1338,24787.46,600519
2514,20200520,1346.11,1351,1359.18,1336.81,21183.4,600519
2515,20200521,1355,1366.1,1371.96,1352.86,23051.58,600519
2516,20200522,1366,1328.2,1366.1,1322.88,34427.46,600519
2517,20200525,1330,1362.9,1366.58,1321,31561,600519
2518,20200526,1369.88,1358,1369.95,1355,22470.19,600519
2519,20200527,1359,1338,1360,1333,26777.41,600519
2520,20200528,1337.97,1344,1346.94,1321.13,26485.91,600519
2521,20200529,1332.1,1366.6,1369.98,1332.1,30444.35,600519
2522,20200601,1381,1419.5,1420.1,1381,35479.76,600519
2523,20200602,1416.01,1410.71,1427.9,1406.66,25960.1,600519
2524,20200603,1415,1399.3,1417.5,1395.77,23557.36,600519
2525,20200604,1396,1407.99,1411,1396,18037.41,600519
2526,20200605,1405.25,1425,1428.88,1401.08,18347.06,600519
2527,20200608,1425,1406.1,1435,1402.01,29300.45,600519
2528,20200609,1408,1416.55,1425,1400.68,22611.91,600519
2529,20200610,1425,1423.66,1433.33,1417,22700.74,600519
2530,20200611,1411.01,1400.46,1417.99,1396.99,30711.71,600519
2531,20200612,1387.17,1416.37,1416.37,1383.31,28427.42,600519
2532,20200615,1402,1383,1411.6,1381,34615.41,600519
2533,20200616,1398.5,1403.88,1414,1393.13,29206.64,600519
2534,20200617,1411.86,1405,1411.9,1395.02,19453.07,600519
2535,20200618,1404.9,1413,1413.2,1400.1,21010.41,600519
2536,20200619,1420,1439.84,1445.2,1415.1,38958.33,600519
2537,20200622,1435.1,1439,1443.89,1433.2,23247,600519
2538,20200623,1435,1474.5,1482,1433.52,33934.26,600519
2539,20200624,1463.6,1460.01,1465.71,1445,25138.99,600519
2540,20200629,1448,1463.17,1466,1437.01,28080.61,600519
2541,20200630,1463.12,1462.88,1468.98,1455.12,22446.14,600519
2542,20200701,1468,1494.27,1506.1,1464.02,38682.49,600519
2543,20200702,1499,1544,1550.9,1495,45883.72,600519
2544,20200703,1550,1541.79,1552.5,1516.88,35125.81,600519
2545,20200706,1538,1600,1616,1531.81,51821.96,600519
2546,20200707,1603.09,1688,1744.82,1601,66663.93,600519
2547,20200708,1680,1681.34,1719,1660,53169.98,600519
2548,20200709,1691,1706,1712,1682,35033.24,600519
2549,20200710,1689,1713.85,1736.6,1688.94,37100.44,600519
2550,20200713,1714.68,1781.99,1787,1714.68,60727.16,600519
2551,20200714,1781.99,1762,1782.03,1748.4,46093.51,600519
2552,20200715,1744.88,1752.53,1782.6,1744.71,40712.94,600519
2553,20200716,1729.91,1614,1729.91,1600,102242.19,600519
2554,20200717,1620,1648.05,1672.59,1620,65902.06,600519
2555,20200720,1652.5,1636.96,1663.99,1588.88,45280.33,600519
2556,20200721,1646.64,1668,1702.8,1630.99,41969.5,600519
2557,20200722,1658,1678.08,1710,1658,39201.21,600519
2558,20200723,1672,1676,1691,1650,34320.52,600519
2559,20200724,1654.85,1595.3,1666,1585,78752.01,600519
2560,20200727,1616.01,1622.55,1629.8,1600,38788.17,600519
2561,20200728,1630,1670,1680,1630,54911.52,600519
2562,20200729,1690,1672,1690,1633,50748.43,600519
2563,20200730,1671.2,1680,1700.59,1670.5,38373.04,600519
2564,20200731,1685,1678.18,1705,1646,40684.74,600519
2565,20200803,1686.88,1668,1696.58,1660,34661.14,600519
2566,20200804,1675,1669.99,1682.99,1660,31940.51,600519
2567,20200805,1662.09,1668,1673.09,1643.31,25521.69,600519
2568,20200806,1670,1637.96,1674.03,1630,32648.78,600519
2569,20200807,1644.77,1631,1649.67,1598.5,34242.05,600519
2570,20200810,1627.97,1633.99,1644.96,1608.11,23623.54,600519
2571,20200811,1640,1642.51,1666.43,1640,35818.18,600519
2572,20200812,1633,1626.95,1641,1605.25,27933.92,600519
2573,20200813,1630,1635,1638.88,1609,20541.34,600519
2574,20200814,1639.9,1661,1665.7,1631,37653.18,600519
2575,20200817,1674,1690,1704.35,1670,43572.01,600519
2576,20200818,1697.38,1705,1720,1691,30422.81,600519
2577,20200819,1700,1687,1717,1682.99,26914.98,600519
2578,20200820,1674,1664,1679,1656,22382.33,600519
2579,20200821,1673,1676,1698,1671,25082.41,600519
2580,20200824,1700,1696.35,1708,1691.01,30933.44,600519
2581,20200825,1704.8,1727,1746.78,1698.63,41872.49,600519
2582,20200826,1734,1727,1745,1715.02,26215.73,600519
2583,20200827,1731.99,1731,1733.98,1705,22635.53,600519
2584,20200828,1731,1757,1764,1721.5,42299.62,600519
2585,20200831,1770.58,1786.5,1816,1770.58,47810.36,600519
2586,20200901,1792,1801.98,1802,1775.01,31639.92,600519
2587,20200902,1825,1795,1828,1770,32009.29,600519
2588,20200903,1795,1793,1812,1779.7,30437.35,600519
2589,20200904,1766,1770,1776.99,1746,30857.96,600519
2590,20200907,1760,1723.5,1777.99,1703.97,31112.02,600519
2591,20200908,1732,1711.4,1737.8,1677.07,34472.38,600519
2592,20200909,1699.67,1688,1711,1680.04,25963.55,600519
2593,20200910,1703.74,1705.8,1720,1700,24778.33,600519
2594,20200911,1688,1733,1736,1688,31088,600519
2595,20200914,1745,1766,1769,1730.58,31056.01,600519
2596,20200915,1769.99,1760,1769.99,1747.75,20820.87,600519
2597,20200916,1760,1725.1,1764.81,1719,22515.98,600519
2598,20200917,1700,1670.52,1700,1658,63679.85,600519
2599,20200918,1665,1695,1695,1635.01,47201.4,600519
2600,20200921,1692.76,1666.8,1692.76,1666.66,22444.07,600519
2601,20200922,1650,1665.69,1686.98,1650,23265.47,600519
2602,20200923,1635,1649.98,1666.01,1621.02,35725.52,600519
2603,20200924,1635.97,1629.32,1658.88,1626.8,30050.78,600519
2604,20200925,1630,1635.11,1650,1625,22582.96,600519
2605,20200928,1635.19,1661,1668.5,1635.19,24232.22,600519
2606,20200929,1669.33,1652.3,1669.4,1652.3,17430.78,600519
